property_id,source,title,district,location_text,property_type,bedrooms,bathrooms,price,image_count,issues,listing_url
moso-stand-alone-house-masowe-3-33,mosoholdings,Stand Alone House,Masowe 3,Masowe 3,House,2,1,6000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02wkiuJ4KcUvbRCF2jQ1pSg2ryVN2X7t1K2dFKc4ZQpAEb3cetFXx7UFnREeoUKVdzl
moso-stand-alone-house-thetsane-west-34,mosoholdings,Stand Alone House,Thetsane West,Thetsane West,House,2,2,10000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02r6sg7ecBX1AAhNXMMNRSSyYUF8miC8oGiTD9spDYgfMv4MRjPiFsp4dJi9Rc9r27l
moso-double-storey-stand-alone-house-thetsane-west-35,mosoholdings,Double Storey Stand Alone House,Thetsane West,Thetsane West,House,3,2,20000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0ipfmfMhdsX47pRuVX2skGMJzKqn8a5pzEf8rs9ibpjPZzNJe3HbZ7Xied2Tyq1P6l
moso-compunded-house-lower-thetsane-37,mosoholdings,Compunded House,Lower Thetsane,Lower Thetsane,House,2,2,20000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0iJRE4THAZ4Mbjb6fSiTKYDNWijYmLda9L2nYhsCm48NN4Np1GVXFsd1taQkrQRRul
moso-double-storey-stand-alone-house-masowe-3-38,mosoholdings,Double Storey Stand Alone House,Masowe 3,Masowe 3,House,3,2,15000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0nZn8gG7bUP7VPWqEE8dQxvXmxaBPgybnhKsjD1MiSEiwyPTeLrM97HEganXSRjSUl
moso-double-storey-house-masowe-4-39,mosoholdings,Double Storey House,Masowe 4,Masowe 4,House,3,2,20000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0yXpS8bh2J67HxazhFTXvk1nsfA4kDy4gdNE8LHdAKdj6VtdfKEpRrnFLkhBbCgCCl
moso-double-storey-stand-alone-house-masowe-4-41,mosoholdings,Double Storey Stand Alone House,Masowe 4,Masowe 4,House,3,3,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0kY3uT29eXiin7JUcFAcT3mk7EKRKo3cVzVEWC4J1nE8aYv6d3v2QNFVaVKJRdxkUl
moso-stand-alone-house-thetsane-lecoop-43,mosoholdings,Stand Alone House,Lecoop,"Thetsane, Lecoop",House,3,2,6500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02H9hgpDvZ5fjaKk2oh2U4zZ7aXVxB7n5LvFYW37Jq3nAp4ehdLnyAvZN7vLfKysstl
moso-office-residential-double-storey-house-thetsane-west-44,mosoholdings,Office/Residential Double Storey House,Thetsane West,Thetsane West,House,3,1,15000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0iB5qzpQiNEtDUMZarHLnB4Kui9TyfGNyWg3yCTUReiMWjVmAdYbrGbwodg7jfu1il
moso-stand-alone-house-mpilo-estates-45,mosoholdings,Stand Alone House,Mpilo Estates,Mpilo Estates,House,3,2,17000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid03pdhZWusqW6sfLMj1xL4f5MVo8uZPy4v5fdWWHTNjjQCpYWXHrsPGPmtrfzJGeDnl
moso-stand-alone-house-mohalalitoe-46,mosoholdings,Stand Alone House,Mohalalitoe,Mohalalitoe,House,3,2,20000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0nWV9DMouULixZKTZ8YHjcFKMBgig8hi5cMeWJVv4mjA47oc2K7WnJkVLuhJ4ZpzQl
moso-stand-alone-house-tsosane-48,mosoholdings,Stand Alone House,Tsosane,Tsosane,House,3,1,1200000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid024gi8tUjj6RVGZZ3GWLAHbSZx67pyfzGoe9BvaMa9JbRZCQA4UGtwJjwatULxtQjbl
moso-double-storey-house-katlehong-49,mosoholdings,Double Storey House,Katlehong,Katlehong,House,3,2,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02fZAw3gg3a8RJ15EBe5uTYGmNsVj7UyUEXGqiLXdbZz5kPFwX9UgFgyqoEbHRLV92l
moso-stand-alone-house-ha-hoohlo-50,mosoholdings,Stand Alone House,Ha Hoohlo,Ha Hoohlo,House,2,1,7500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0RBa9ZwgUkvAwkeYXPZiRTTBEYRP54zQu3HSjAKfZRjbtaZJFJ897boJzcGMbaaYhl
moso-city-center-house-thetsane-west-51,mosoholdings,City Center House,Thetsane West,Thetsane West,House,3,4,15000,1,district_needs_normalization,https://mosoholdings.co.ls/listings-search/
moso-double-storey-house-lower-thetsane-52,mosoholdings,Double Storey House,Lower Thetsane,Lower Thetsane,House,5,2,38000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02GcKMJgmcAMDvULmrCwW2S3cwm5bpXB6m8p2mfCf6GSXNNuyYwfjzguxyFndDnXM9l
moso-triple-storey-house-katlehong-53,mosoholdings,Triple Storey House,Katlehong,Katlehong,House,4,4,35000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02M3BP6bYdXVvWyfUFnnWBGuHnU4v1M9afVqabsG9VdyNrtpVtx39ofQDYewf73hv5l
moso-city-center-house-thetsane-west-54,mosoholdings,City Center House,Thetsane West,Thetsane West,House,3,3,16000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0jNQsCDxmacSLGnLzy71zGPS4qExRT5PBj4tdD8vCMoX238ZS7fubudwdPoBWYYRml
moso-double-storey-house-thetsane-west-55,mosoholdings,Double Storey House,Thetsane West,Thetsane West,House,5,3,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02oxLaHjUva25VtkvCQEyb4HfBhiSReMJr8XeDP5oqFRnzgKuBpFgdxRvKyZTjaYzgl
moso-stand-alone-house-katlehong-56,mosoholdings,Stand Alone House,Katlehong,Katlehong,House,3,3,15000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02pqmybBxmq5NNVQdXNFSxSGm2irVdQ3Q71j3RYKp7aihzw93k7ibPKRvgBJcSmgcKl
moso-double-storey-house-masowe-2-57,mosoholdings,Double Storey House,Masowe 2,Masowe 2,House,3,3,12500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0exXsHNcpQp4obUHJSJUAhS7eQyg7p84jnkJBAPgZHXMdwPBUdZny7v7M9Ai4JX2pl
moso-stand-alone-house-thetsane-lesia-58,mosoholdings,Stand Alone House,Thetsane Lesia,Thetsane Lesia,House,4,2,12000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid028MU81LGFYjNLU36w4LpwDzXf5WeuhN7x8wdAbKYQ8rhTVXzAbvwhQYCCiTHur2YVl
moso-stand-alone-house-katlehong-59,mosoholdings,Stand Alone House,Katlehong,Katlehong,House,3,2,12000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid035bKzUtZCgFJTKzjZmGTptkQxj4bui9M1DP47xgHt3KSpupf2e6jd6HFMpmPJaALvl
moso-compounded-house-thetsane-lecoop-60,mosoholdings,Compounded House,Thetsane Lecoop,Thetsane Lecoop,House,2,2,6500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02uXvmYEm9L4pTnHCexaEzbGCdJsrX1Yaysmt4uUkYJ3kmyBCwSWLkxywcYLDTuEwwl
moso-stand-alone-house-katlehong-61,mosoholdings,Stand Alone House,Katlehong,Katlehong,House,3,3,20000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid021K6RQDJY5zHq3p92Y5hiLN6EmCdzuM9We3FXdaFkXioBYaRDyPdgVoYsEnrWDSeHl
moso-stand-alone-house-katlehong-race-course-62,mosoholdings,Stand Alone House,Race Course,"Katlehong, Race Course",House,4,2,16000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid035bKzUtZCgFJTKzjZmGTptkQxj4bui9M1DP47xgHt3KSpupf2e6jd6HFMpmPJaALvl
moso-compounded-house-thetsane-lecoop-63,mosoholdings,Compounded House,Thetsane Lecoop,Thetsane Lecoop,House,2,2,7000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0mS7ABanruwbSJ8Hy82UGZzecARQGZk4XRh1DTnWY9wXwEQ8ibs9n7KHkyUGGLcZCl
moso-1-600-m-sehlabeng-sa-thuathe-news-65,mosoholdings,"1,600 m²",Sehlabeng Sa Thuathe News,Sehlabeng sa Thuathe news,House,0,0,160000,1,district_needs_normalization,https://mosoholdings.co.ls/listings-search/
moso-700m-thetsane-east-66,mosoholdings,700m²,Thetsane East,Thetsane East,Site,0,0,230000,1,district_needs_normalization,https://mosoholdings.co.ls/listings-search/
moso-newly-built-offices-stadium-area-68,mosoholdings,Newly Built Offices,Stadium Area,Stadium Area,Commercial,0,0,120000,1,district_needs_normalization,https://mosoholdings.co.ls/listings-search/
